Modelo,Tipo,mse_mean,mae_mean,rmse_mean,r2_mean,nash_sutcliffe_efficiency_mean,ssim_mean,correlation_pearsonr_mean,max_true_mean,max_pred_mean
predict_10min,Predição,2.557826,0.6565532,1.4262404,0.6845274,0.16880557,0.7027848498087911,0.82164425,13.186287,17.88713
predict_10min,Persistência,2.782737,0.6834721,1.4384841,0.5692377,0.24699374,0.6356316050375552,0.7433726,13.186287,14.25735
predict_20min,Predição,2.8716705,0.78196627,1.5256538,0.35109717,0.2131171,0.4624651271385991,0.5681983,12.143349,5.823705
predict_20min,Persistência,7.221677,1.1314394,2.3302093,0.21764989,-0.9359352,0.350726809015525,0.41465205,12.143349,16.653355
predict_30min,Predição,3.10279,0.87398547,1.6188618,0.2690639,0.13279964,0.34189627603641287,0.48720297,11.540289,4.978415
predict_30min,Persistência,6.130912,1.2901443,2.3510697,0.09950154,-1.1668315,0.17877476788702015,0.20443457,11.540289,12.733551
predict_40min,Predição,3.940202,0.8435707,1.7716439,0.36828667,0.27848426,0.466998711664853,0.5672702,15.534365,9.378595
predict_40min,Persistência,9.431315,1.4276472,2.847405,0.04711768,-1.4638262,0.21347453259683075,0.14129037,15.534365,15.245272
predict_50min,Predição,4.9226933,1.0552124,2.0602279,0.37083453,0.20440683,0.4157904213022536,0.57712394,18.019999,13.228133
predict_50min,Persistência,12.200882,1.8393768,3.316779,0.05541732,-1.1134684,0.11244737724136748,0.015514654,18.019999,15.806193
predict_60min,Predição,5.095575,0.877046,1.9113846,0.45223826,0.30702427,0.5072512843595546,0.6363525,16.991571,16.431456
predict_60min,Persistência,12.20542,1.6997116,3.2549577,0.018973516,-1.1906408,0.06407929832232952,-0.07275724,16.991571,17.052177
