Modelo,Tipo,mse_mean,mae_mean,rmse_mean,r2_mean,nash_sutcliffe_efficiency_mean,ssim_mean,correlation_pearsonr_mean,max_true_mean,max_pred_mean
predict_10min,Predição,6.3398643,0.82534903,2.2276847,0.6311968,-1.2113827,0.6246704712688799,0.7875293,13.186287,29.554424
predict_10min,Persistência,2.782737,0.6834721,1.4384841,0.5692377,0.24699374,0.6356316050375552,0.7433726,13.186287,14.25735
predict_20min,Predição,3.3034492,0.8813492,1.6217968,0.2971358,-0.045673467,0.42404764970532716,0.5202442,12.143349,6.7539306
predict_20min,Persistência,7.221677,1.1314394,2.3302093,0.21764989,-0.9359352,0.350726809015525,0.41465205,12.143349,16.653355
predict_30min,Predição,2.6815262,0.8195953,1.4966098,0.36675963,0.19151168,0.4085253034920645,0.5699435,11.540289,7.9284005
predict_30min,Persistência,6.130912,1.2901443,2.3510697,0.09950154,-1.1668315,0.17877476788702015,0.20443457,11.540289,12.733551
predict_40min,Predição,23.236498,1.1091266,2.588139,0.41072744,-1.4037721,0.4304222095029046,0.60672504,15.534365,13.82596
predict_40min,Persistência,9.431315,1.4276472,2.847405,0.04711768,-1.4638262,0.21347453259683075,0.14129037,15.534365,15.245272
predict_50min,Predição,8.019013,1.3967546,2.5806966,0.076199174,-0.12089721,0.1585069104177909,0.1945767,18.019999,2.8847196
predict_50min,Persistência,12.200882,1.8393768,3.316779,0.05541732,-1.1134684,0.11244737724136748,0.015514654,18.019999,15.806193
predict_60min,Predição,5.117239,1.0334125,2.0116713,0.30114335,0.19304705,0.3421971159507409,0.4588422,16.991571,13.144523
predict_60min,Persistência,12.20542,1.6997116,3.2549577,0.018973516,-1.1906408,0.06407929832232952,-0.07275724,16.991571,17.052177
